seed,cxpb,mutpb,earliest_gen_of_max_value,max_value
14,0.1,0.9,27,666.282801186254
14,0.2,0.8,11,666.282801186254
14,0.3,0.7,39,666.282801186254
14,0.4,0.6,20,666.282801186254
14,0.5,0.5,37,666.282801186254
14,0.6,0.4,48,666.282801186254
14,0.7,0.3,57,666.282801186254
14,0.8,0.2,92,666.282801186254
14,0.9,0.1,91,635.7983503975622
14,1.0,0.0,0,344.7087215086856
15,0.0,1.0,27,581.0357325829059
15,0.1,0.9,24,581.0357325829059
15,0.2,0.8,36,581.0357325829059
15,0.3,0.7,38,581.0357325829059
15,0.4,0.6,78,581.0357325829059
15,0.5,0.5,26,581.0357325829059
15,0.6,0.4,61,581.0357325829059
15,0.7,0.3,93,581.0357325829059
15,0.8,0.2,81,565.163656297022
15,0.9,0.1,55,554.771984455316
15,1.0,0.0,0,291.8688192338117
16,0.0,1.0,29,765.7754809440193
16,0.1,0.9,62,765.7754809440193
16,0.2,0.8,35,765.7754809440193
16,0.3,0.7,67,765.7754809440193
16,0.4,0.6,36,765.7754809440193
16,0.5,0.5,88,765.7754809440193
16,0.6,0.4,88,765.7754809440193
16,0.7,0.3,95,758.0414637235232
16,0.8,0.2,94,756.4141038350264
16,0.9,0.1,97,698.407468171583
16,1.0,0.0,0,385.68314870755756
17,0.0,1.0,32,687.8413635275465
17,0.1,0.9,17,687.8413635275465
17,0.2,0.8,44,687.8413635275465
17,0.3,0.7,22,687.8413635275465
17,0.4,0.6,39,687.8413635275465
17,0.5,0.5,59,677.592244665631
17,0.6,0.4,95,687.8413635275465
17,0.7,0.3,66,687.8413635275465
17,0.8,0.2,99,677.592244665631
17,0.9,0.1,94,582.9238965779512
17,1.0,0.0,0,329.6504382667011
18,0.0,1.0,20,715.5083233731481
18,0.1,0.9,27,715.5083233731481
18,0.2,0.8,44,715.5083233731481
18,0.3,0.7,30,715.5083233731481
18,0.4,0.6,29,715.5083233731481
18,0.5,0.5,30,715.5083233731481
18,0.6,0.4,54,715.5083233731481
18,0.7,0.3,58,715.5083233731481
18,0.8,0.2,77,715.5083233731481
18,0.9,0.1,88,674.0001422150784
18,1.0,0.0,0,385.2801887316243
19,0.0,1.0,42,849.1595434538217
19,0.1,0.9,34,849.1595434538217
19,0.2,0.8,29,849.1595434538217
19,0.3,0.7,55,849.1595434538217
19,0.4,0.6,34,849.1595434538217
19,0.5,0.5,82,849.1595434538217
19,0.6,0.4,70,849.1595434538217
19,0.7,0.3,70,846.8989562844899
19,0.8,0.2,100,833.4591900122981
19,0.9,0.1,97,757.8631926336141
19,1.0,0.0,0,352.8010760691019
20,0.0,1.0,22,713.3755405868266
20,0.1,0.9,42,712.3057765851194
20,0.2,0.8,84,712.3057765851194
20,0.3,0.7,55,713.3755405868266
20,0.4,0.6,61,713.3755405868266
20,0.5,0.5,60,713.3755405868266
20,0.6,0.4,61,713.3755405868266
20,0.7,0.3,74,710.6699416133564
20,0.8,0.2,83,701.6308493052709
20,0.9,0.1,95,664.8996203384921
20,1.0,0.0,0,347.4281427725823
21,0.0,1.0,24,778.2394514206071
21,0.1,0.9,30,778.2394514206071
21,0.2,0.8,33,778.2394514206071
21,0.3,0.7,53,778.2394514206071
21,0.4,0.6,69,778.2394514206071
21,0.5,0.5,52,778.2394514206071
21,0.6,0.4,76,778.2394514206071
21,0.7,0.3,31,776.8273165265888
21,0.8,0.2,75,751.9530229755953
21,0.9,0.1,95,734.3129110657322
21,1.0,0.0,0,341.3374987454956
22,0.0,1.0,32,747.0322296470209
22,0.1,0.9,38,747.0322296470209
22,0.2,0.8,91,747.0322296470209
22,0.3,0.7,73,747.0322296470209
22,0.4,0.6,78,747.0322296470209
22,0.5,0.5,54,747.0322296470209
22,0.6,0.4,46,729.1420742075571
22,0.7,0.3,92,747.0322296470209
22,0.8,0.2,89,747.0322296470209
22,0.9,0.1,95,592.5364217403882
22,1.0,0.0,0,364.31679741677095
23,0.0,1.0,26,678.9090901810742
23,0.1,0.9,62,678.9090901810742
23,0.2,0.8,29,678.9090901810742
23,0.3,0.7,60,678.9090901810742
23,0.4,0.6,57,678.9090901810742
23,0.5,0.5,56,678.9090901810742
23,0.6,0.4,55,678.9090901810742
23,0.7,0.3,84,678.9090901810742
23,0.8,0.2,76,668.4364688311709
23,0.9,0.1,94,627.4532168802547
23,1.0,0.0,0,360.62578284894846
24,0.0,1.0,48,989.1295793102249
24,0.1,0.9,40,989.1295793102249
24,0.2,0.8,55,989.1295793102249
24,0.3,0.7,31,989.1295793102249
24,0.4,0.6,32,989.1295793102249
24,0.5,0.5,48,989.1295793102249
24,0.6,0.4,47,975.9585481342964
24,0.7,0.3,72,960.8713055815141
24,0.8,0.2,97,989.1295793102249
24,0.9,0.1,78,852.2811779516978
24,1.0,0.0,0,401.50640003514354
25,0.0,1.0,65,821.5499217151134
25,0.1,0.9,38,821.5499217151134
25,0.2,0.8,97,821.5499217151134
25,0.3,0.7,38,820.4524565649531
25,0.4,0.6,73,821.5499217151134
25,0.5,0.5,76,821.5499217151134
25,0.6,0.4,80,821.5499217151134
25,0.7,0.3,81,820.4524565649531
25,0.8,0.2,82,820.4524565649531
25,0.9,0.1,98,676.8395533138944
25,1.0,0.0,0,352.16230871381305
26,0.0,1.0,15,746.6022493660737
26,0.1,0.9,37,746.6022493660737
26,0.2,0.8,25,746.6022493660737
26,0.3,0.7,63,746.6022493660737
26,0.4,0.6,36,746.6022493660737
26,0.5,0.5,46,746.6022493660737
26,0.6,0.4,70,746.6022493660737
26,0.7,0.3,91,746.6022493660737
26,0.8,0.2,56,732.1819224705005
26,0.9,0.1,86,746.6022493660737
26,1.0,0.0,0,389.9387581689508
27,0.0,1.0,37,735.5162725410121
27,0.1,0.9,13,735.5162725410121
27,0.2,0.8,32,735.5162725410121
27,0.3,0.7,29,735.5162725410121
27,0.4,0.6,33,735.5162725410121
27,0.5,0.5,44,735.5162725410121
27,0.6,0.4,72,735.5162725410121
27,0.7,0.3,50,735.5162725410121
27,0.8,0.2,48,735.5162725410121
27,0.9,0.1,93,720.9330311371641
27,1.0,0.0,0,365.17684759755895
28,0.0,1.0,29,728.5332122431317
28,0.1,0.9,65,728.5332122431317
28,0.2,0.8,19,728.5332122431317
28,0.3,0.7,35,728.5332122431317
28,0.4,0.6,81,728.5332122431317
28,0.5,0.5,82,728.5332122431317
28,0.6,0.4,94,728.5332122431317
28,0.7,0.3,66,728.5332122431317
28,0.8,0.2,53,722.3274292341229
28,0.9,0.1,91,651.7605310487319
28,1.0,0.0,0,401.25483777455776
29,0.0,1.0,36,836.0645015014552
29,0.1,0.9,29,836.0645015014552
29,0.2,0.8,31,836.0645015014552
29,0.3,0.7,49,836.0645015014552
29,0.4,0.6,51,836.0645015014552
29,0.5,0.5,47,830.9007536345948
29,0.6,0.4,54,836.0645015014552
29,0.7,0.3,36,836.0645015014552
29,0.8,0.2,60,836.0645015014552
29,0.9,0.1,78,755.4630495959535
29,1.0,0.0,0,417.33819209718024
